Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"Bluestem Brands, Inc. is the parent company to seven eCommerce retail brands. We have one mission: to build a dynamic retail enterprise that wins with direct-to-consumer excellence and entrepreneurial-minded employees focused on serving our customers’ unique needs. Our leadership is responsive and supportive, empowering those smart and passionate employees who drive our success. We are continually innovating and improving: we take risks, learn from mistakes and celebrate success as a team.

You work hard, and you deserve more than just a paycheck. Bluestem works to do what’s right for employees. From the big things (great benefits, employee discounts and incentive plans) to small touches (jeans-every-day dress code), this is the place you’ll want to be. And we don’t just talk about work-life balance, we try to live it. Join the Bluestem Brands team to make an impact, be inspired and be valued, every day.

Learn more about why you should work for Bluestem by clicking here!

We are seeking a Data Scientist for Bluestem Brands Inc. to be located at our office in Eden Prairie, MN. Bluestem Brands, Inc. is the parent company to 7 dynamic eCommerce retail brands. We are as strong and determined and adaptive as the prairie grass for which we’re named. Whether it’s through our unique retail business model, our diversity of brands, or our company culture, we are forging our own path. With roughly $2 billion in annual sales, we at Bluestem have our sights set high.

The Data Scientist will follow our internal Machine Learning model development process, such as data handling, target variable definition/analysis, segmentation consideration, algorithm selection, stress testing, and so on. The Data Scientist will also have freedom to pursue his/her own ideas and experiment to identify interesting patterns and trends in the data. As a Data Scientist, the person will have the opportunity to conduct advanced research activities such as improving existing algorithms, developing new ones, or designing methodologies.

DUTIES AND RESPONSIBILITIES

Develop and/or implement machine learning models for predictive purposes.
Validate models for roll-out and analyze the performance of existing models.
Assess the usefulness of new data sources, transformations, and modeling techniques.
Perform high quality, data driven statistical inference.
Mine large datasets in multiple databases to draw patterns and inferences to build models and arm leaders with information that will help make business decisions.
Support end-users to design strategies based on newly developed machine learning models

QUALIFICATIONS

Bachelors degree in data science, information science, machine learning, statistics, computer science, data mining, applied mathematics, physics, engineering, econometrics or other technology/quantitative/hard science program. A MS or PhD degree is a plus
Experience in one of the followings: Python, R, Spark, Scala, SQL, or other analytical/mathematical/statistical programming environment.
Hands on experience with information retrieval from high dimensional data, dimensionality reduction and feature extraction.
Basic knowledge of supervised and/or unsupervised model building techniques is a plus, especially one of these machine learning methodologies, such as: neural networks, extreme gradient boosting (XGBoost), support vector machines (SVM), gradient boosted models (GBM), and random forest.
Commitment to creating reproducible and well-documented code

#LI-MB1",-1.0,BLST Operating Company LLC,"Eden Prairie, MN",-1,-1,-1,-1,-1,-1
Data Scientist,-1,"QualRisk is looking to fill a role for an affiliated business.
Business*
The affiliated business is a new venture fully owned and stewarded by leading life and annuity carriers in the United States. The purpose is to improve industry capabilities and customer experiences by efficiently collaborating and pooling resources of life and annuity insurers, with a focus on data and technology initiatives. All activities are pursued in strict compliance with all data privacy and data security regulations and protocols.

The role is for a subsidiary that will deliver solutions utilizing collaborative services and data sharing to improve underwriting capabilities for life insurers. The business will help companies increase their use of emerging data vendors, expand data collection on rare events, and accelerate the time it takes to incorporate insights into data triaging and accelerated underwriting processes.
Role *
The business is seeking a Data Scientist who will be responsible for evaluating emerging data sources, identifying new data trends for customers, and acting as the team’s subject matter expert on new business initiatives. The Data Scientist will work with key stakeholders at life insurers to develop data analytic techniques, construct data insights, and be responsible for key data deliverables. Specifically, the Data Scientist will:
Analyze data using appropriate statistical and machine learning applications and approaches.
Conduct hypothesis testing and measure variable interactions based on insight and preliminary brainstorming with industry experts; quantify data interactions, incorporate external data sources, and develop predictive scoring algorithms to assess event likelihoods under various scenarios.
Partner with product, engineering and end-customer teams to assist in new product design.
Collaborate with stakeholders to ensure data governance needs are met.
Extract and interpret data based on business needs.
Summarize key findings and present to project stakeholders.
Cleanse, anonymize and standardize data.
Coach and guide peers on appropriate use of data.
Implement and maintain standards and tools for sharing code, data, and tasks.
Qualifications *
Bachelor’s or Master’s degree in statistics, applied mathematics or other technical major with 4+ years of experience as data scientist or equivalent roles.
Commercial awareness of the life insurance market. Experience in the insurance industry (and specifically life insurance) is a plus.
Proficient with data analysis tools, especially SQL, Python, and/or SAS .
Strong understanding of statistical analysis, predictive modeling and data engineering techniques and ability to articulate the implications of those tools and their findings to clients
Ability to develop analytical approaches to answer general customer needs and develop insightful recommendations
Team player with ability to build relationships and drive to consensus.
Detail oriented with problem-solving ability.
Strong verbal and written communication with the ability to summarize effectively.
Skill in managing multiple tasks and dealing with a fast-paced work environment.
Job Type: Contract

Pay: $80,000.00 - $100,000.00 per year

Schedule:
8 hour shift
Experience:
data science or equivalent: 4 years (Required)
insurance and financial services: 2 years (Preferred)
Language:
English (Required)
Work authorization:
United States (Required)
Contract Length:
Varies
Company's website:
https://www.qualrisk.com/
Work Remotely:
Temporarily due to COVID-19",-1.0,QualRisk,"New York, NY",-1,-1,-1,-1,-1,-1
Data Scientist/AL Resource,-1,"Title: Data Scientist/AL Resource

Location: Princeton, NJ

Duration: 3-6 Months

Visa Type: Any

Requirement:

• Experience with Python / R programming / Data Science / Machine Learning – Any of these skills.

• Understanding of Data Structures, Algorithms & Object-Oriented design concepts

• Effective verbal/written communication along with strong interpersonal skills.

Requirements

Title: Data Scientist/AL Resource

Location: Princeton, NJ

Duration: 3-6 Months

Visa Type: Any

Requirement:

• Experience with Python / R programming / Data Science / Machine Learning – Any of these skills.

• Understanding of Data Structures, Algorithms & Object-Oriented design concepts

• Effective verbal/written communication along with strong interpersonal skills.

Benefits

Note: If interested please send your updated resume and include your rate requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us.

We look forward to hearing from you at the earliest!",4.0,"Two95 International Inc.
4.0","Princeton, NJ",1 to 50 Employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Scientist,-1,"Title: Data Scientist

Location: Chicago or North NJ (near Newark) (Multiple Openings)

Job Type: Full Time/ Contract to Hire

Salary: Open

Requirements:

• Minimum 5-10 years of hands-on experience with statistical software tools: SQL, R, Python

• 3+ years- experience in business analytics, forecasting or business planning with emphasis on analytical modeling, quantitative reasoning and metrics reporting

• Experience working with large data sets in order to extract business insights or build predictive models

• Proficiency in one or more statistical tools/languages - Python, Scala, R SPSS or SAS and related packages like Pandas, SciPy/Scikit-learn, NumPy etc.

• Good data intuition / analysis skills; sql, plsql knowledge must

• Banking / Financial Sectors (preferred / not a must)

Note: If interested please send your updated resume and include your rate requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us.",4.0,"Two95 International Inc.
4.0","Chicago, IL",1 to 50 Employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Scientist,-1,"Position: Data Scientist

Location: Menlo Park CA or Remote

Qualification: Bachelors’ degree in Computer Science or a related field

Experience: 3-5yrs

Job description:

· Design and develop software solutions to problems related to managing networks

consisting of a large number of devices;

· Design and develop software solutions to integrate with and orchestrate 3rd party

network element managers, identity providers, authorization managers, firewalls,

edge devices;

· Develop software in C/C++ and Python on Linux and other networked operating systems;

· Design and develop data analytics system for networking telemetry and configuration data;

· Evaluate and adopt stream processing, batch processing and monitoring solutions applicable for networking domain; and

· Collaborate with the Product Management team.",5.0,"Teknatio
5.0","Menlo Park, CA",1 to 50 Employees,-1,Contract,-1,-1,Less than $1 million (USD)
Data Scientist,-1,"Our Client, FORTUNE® 50 home improvement company serving approximately 18 million customers a week in the United States and Canada, is in need of a Data Scientist. Full time Role.

Purpose Of Role

The primary purpose of this role is to provide advanced analytical capabilities to support data science initiatives. This position gains experience in various areas including, but not limited to: predictive modeling; personalization and recommendation algorithms; natural language processing and text mining; search recall, precision, ranking, and related problems; optimization and mathematical programming with applications in labor scheduling, inventory and capacity planning, network flows, and supply chain optimization.

Responsibility Statements
Mines and extracts data and applies statistics and algorithms necessary to derive insights for Lowe's and Lowe's Digital.
Supports the generation of an automated insights generation framework for Lowe's business partners to effectively interpret data.
Provides actionable insights through data science on Personalization, Search & Navigation, SEO & Promotions, Supply Chain, Services, other company priorities, etc.
Tracks success of Lowe's through the development of dashboard reports that measure financial results, customer satisfaction, and engagement metrics.
Conducts deep statistical analysis, including predictive and prescriptive modeling in order to provide a competitive advantage at Lowe's.
Maintains up-to-date knowledge on industry trends, emerging technologies, and new methodologies and applies it to projects as well as using it to guide team members.
Serves as a leading member on automation and analytical projects, collaborating across functions.
Required Education/Experience
Bachelor's Degree in Computer Science, Statistics, Physics, Economics, Industrial Engineering, Operations Research, or related quantitative analytic field AND 1-3 years experience analytic maturity, with knowledge of SQL and various statistical modeling or machine learning techniques.
OR
Masters Degree in Computer Science, Statistics, Physics, Economics, Industrial Engineering, Operations Research, or related quantitative analytic field AND 0-1 years experience analytic maturity, with knowledge of SQL and various statistical modeling or machine learning techniques.
Preferred Education/Experience
2+ years data science or advanced analytics experience in industry.",-1.0,Data Bridge Consultants,"Charlotte, NC",-1,-1,-1,-1,-1,-1
"Data Scientist, Operations",-1,"PicnicHealth is a San Francisco-based, venture-backed health tech startup with the mission of structuring the world's medical data to make it useful. Our business is two-sided: We give patients the first truly useful and complete personal health record by doing all the legwork to collect, digitize, and organize medical records from all of their providers. In addition, patients can support new medical breakthroughs if they choose to contribute their anonymized medical histories to studies PicnicHealth sponsors with leading researchers. Patients get the PicnicHealth service free of charge, life sciences researchers get critical data on how diseases look in the real world, and academic researchers get free access to data sets that drive cutting edge medical research.

It's an exciting time to join the PicnicHealth team - we just announced our Series B raise and are growing quickly in revenue, partnerships, and people. We 3x'd our ARR two years in a row now and on track to continue this trend, building partnerships with over a dozen Life Sciences groups, including 3 of the top 6 Biopharma firms in the US. We're going through a period of hyper-growth - we tripled the size of the team in the last 18 months and we're looking to at least double over the next year. We have a collaborative and engaged team culture that is mission driven and excited about the technology we're building and real solutions we're offering patients.

The Opportunity

At PicnicHealth, data science is at the core of how we cost-effectively retrieve and transform medical records into structured shareable data. Our teams recruit patients to partner's research studies, manage a large workforce of professionals who lend their expertise to the process of extracting clinical information, and build software tools to make these processes efficient. We are looking for a talented data scientist to arm these teams with data-driven insights so they can make informed operational and strategic decisions. This role provides a unique opportunity to work with continuous real-world operations data, to be tightly coupled to the actions taken based on one's analyses, and to drive significant impact within PicnicHealth's core business.

Our ideal team member will have equal parts communication, analytical, and leadership skills. You possess a strong sense of curiosity and a desire to contribute to a business that impacts the daily lives of chronic disease patients, as well as the doctors and scientists helping them. You ask analytical questions and possess the technical know-how to translate models into code, code into numbers, and numbers into operations decisions. You have prior experience analyzing networks, distribution, routing, or other dynamical operations scenarios. You have a strong desire to lead a growing team of data scientists as PicnicHealth scales to meet customer demand. You are a kind, passionate, and collaborative problem-solver who seeks and gives candid feedback.

As a Senior Data Scientist at PicnicHealth you will:
Work with a cross-functional team to model continually-evolving operations scenarios, drive analytical decision, and communicate actionable insights
Become an expert in the data we collect, understanding how to extract timely insights via SQL, and helping evolve our instrumentation to boost insight into company operations
Use PicnicHealth's data to optimize and shape the workflow of professionals tackling a hard problem: collecting and structuring medical histories to empower patients
Take a technical leadership role among a diverse, growing team of data scientists, while helping level up the sophistication of our analyses and processes
Help continue to build a world-class Data Science team, by helping attract, interview, and onboard your future team members during this exciting time of growth
You're a strong candidate if:
You hold a Master's degree with 4 years of industry experience or PhD in a quantitative discipline, such as operations research, applied math, applied statistics, health economics, or a related discipline
You love working with data and have experience exploring it with a critical eye
You are proficient in Python/SQL (or another programming language and are committed to becoming an expert in Python and SQL)
You are an excellent communicator, both oral and written, and can effectively adapt your tone, content, and approach to diverse audiences
You are self-motivated, flexible, proactive, and enjoy coming up with elegant and innovative solutions to challenging problems
You know how to balance attention to detail with execution against tight timelines
You are passionate about our grassroots patient-centric mission to improve healthcare through technology
You are an ideal candidate if you also have experience:
Analyzing efficiency and bottlenecks within real world networks, such as distribution, communications, or transportation networks
Why join PicnicHealth?

At PicnicHealth you get to solve real problems with real solutions, great tech, and great people.

You also get:
Competitive salary
Comprehensive benefits including Health, Dental, Vision
Flexible time off
401k plan
Parental leave
Free PicnicHealth account
Equipment and internet funds while we're working remotely during COVID-19
Due to COVID-19, currently all roles are remote until at least until January 2021. Once in-person work is safe for all team members, this role would be based out of our beautiful office in the Mission District of San Francisco.

Equal Opportunity Statement

PicnicHealth is committed to promoting an inclusive work environment free of discrimination and harassment. We value a diverse and balanced team where everyone can belong.",4.8,"PicnicHealth
4.8","San Francisco, CA",1 to 50 Employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Financial/Business Intelligence Analyst Intern,-1,"ABOUT US
EQ Office is one of Blackstone Group’s real estate portfolio companies specializing in office assets. At EQ Office we focus on the experience—how space feels, activates, and performs. We partner with business leaders to find, design, and manage balanced workspaces that inspire talent. We’re proud to work hand-in-hand with organizations of all sizes (from Fortune 100 companies to emerging startups) to bring humanity back to the workplace.
ABOUT THE INTERNSHIP
Our Corporate Finance Internship was created to develop and invest in future real estate leaders. Financial / Business Intelligence Analysts Interns are hired for a 10-week immersive experience where they learn the fundamentals of corporate finance, research, data analysis and experience the culture of EQ Office. During the internship, individuals will receive training and work on a variety of projects that directly impact the business. Summer interns are immediately a part of our collaborative culture and build enduring relationships with their fellow interns, manager, and assigned mentor. Summer interns also have the opportunity to network with various professionals through organized social events. Finally, each summer intern will work with an assigned mentor to complete a project and present their findings with other interns to the executive leadership team.

Our 2021 summer analyst internship program will begin June 2021 and last through August 2021. To be eligible, you must be a college student during the time of the internship program.

RESPONSIBILITES
Work with team and assist with market, industry, and leading indicator research
Conduct project-based work with mentor, research, reporting & strategize to learn about the industry
Create and present an intern project related to the industry
Perform special projects as assigned

REQUIREMENTS
Current junior undergraduate student at an accredited four-year institution (graduating 2022)
Pursuing a degree in finance, real estate, economics, business analytics, or data science
Minimum GPA of 3.5
Strong knowledge of MS Word, PowerPoint and Excel; knowledge of MS PowerBI preferred
Ability to prioritize and multi-task in a fast-paced environment
Excellent organizational skills and attention to detail
Excellent analytical and problem-solving skills
Ability to work in Chicago in a full-time capacity for 10 weeks, beginning in June of 2021.
EEO Statement

Our company is proud to be an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. Our employment decisions are based on individual qualifications, job requirements and business needs without regard to race, color, marital status, sex, sexual orientation, gender identity and/or expression, age, religion, disability, citizenship status, national origin, pregnancy, veteran status and or any other legally protected characteristics. We are committed to providing reasonable accommodations, if you need an accommodation to complete the application process, please email talent@revantage.com.",3.4,"Revantage Corporate Services
3.4","Chicago, IL",201 to 500 Employees,2017,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Data Scientist,-1,"Type of Requisition:

Regular

Clearance Level Must Currently Possess:

None

Clearance Level Must Be Able to Obtain:

None

Suitability:

No Suitability Required

Public Trust/Other Required:

None

Job Family:

Data Science

Job Description:

GDIT Job Posting Template

At GDIT, people are our differentiator. Our work depends on a Fraud, Waste and Abuse Data Scientist joining our team to support Centers for Medicare and Medicaid Services anti-fraud activities. As a FWA Data Scientist supporting the Healthcare Fraud Prevention Partnership, you will be trusted to collaborate with Subject Matter Experts and other Data Scientists to create unique fraud detection methodologies within a multi-billion record database made up of a large partnership of public and private healthcare payers. You will be a part of a 12-person team supporting the Trusted Third Party fraud, waste and abuse data analytics.

We are GDIT. The people supporting and securing some of the most complex government, defense, and intelligence projects across the country. We ensure today is safe and tomorrow is smarter. Our work has meaning and impact on the world around us, but also on us, and that’s important.

GDIT is your place. You make it your own by embracing autonomy, seizing opportunity, and being trusted to deliver your best every day.

We think. We act. We deliver. There is no challenge we can’t turn into opportunity.

In this role, a typical day will include:
This position is within a multi-disciplinary team of Data Scientists, Business Intelligence Analysts and FWA Subject Matter Experts. Our team is 100% remote and distributed throughout the country.
This position will be responsible for development and execution activities in multi-payer environments by creating, reviewing, and maintaining statistical analysis plans, providing data interpretation and generating reports in support of proposed research questions.
The FWA Data scientist will develop statistical tests for FWA modeling results and provide predictive analytic statistical support.
This position is responsible for preparing timelines for statistical project management and performs and interprets basic and complex analyses.
The FWA Data Scientist will provides quality review on statistical analysis and programs plan to ensure consistency with protocol and adequacy to meet objectives defined in protocol, by collaborating with other statisticians and programmers to identify potential data problems from analytic queries and to take appropriate action to guide the resolution process.
This position requires documenting analyses, creating summaries and presenting written and verbal results for FWA study reports.
The FWA Data Scientist will effectively communicate statistical and data-related concepts to non-statisticians (managers, researchers in other fields, etc.).
This team member will be called upon to lead or co-lead small project teams as necessary.
REQUIRED QUALIFICATIONS
Master’s Degree in Statistics or related field.
7+ years of experience in statistical and computer-science related field(s).
5+ years of experience using SAS software for healthcare Fraud, Waste and Abuse data mining and statistical modeling.
5+ years client relation activities, ingesting and synthesizing customer requirements and effectively communicating complex healthcare analytic outcomes to client satisfaction.
5+ years expertise in medical terminology and all healthcare coding systems (e.g., ICD-10, CPT, HCPCS, DRG and the like).
5+ years of experience datamining for healthcare fraud, waste and abuse in large, multi-payer databases with diverse health care benefit structures and claim processing systems, including private plans (commercial insurance) as well as Federal and State public plans (Medicare and Medicaid).
5+ years of experience researching, interpreting and applying payer medical (coverage) policies (e.g., LCDs, NCDs, private carrier medical policies) and common industry claim edits (e.g., NCCI).
2+ years of experience using Tableau, with demonstrable experience communicating and visualizing complex healthcare analytic outcomes
Demonstrated expertise in the complete Microsoft Office Suite including: Word, Excel, and PowerPoint
DESIRED QUALIFICATIONS
Competence and experience in the following programming languages and platforms: Linux, SQL, Hadoop, Python and/or R.
Strong supervisory experience leading project teams and/or mentorship ability guiding new analysts.
Ability to communicate technical outcomes with a high degree of detail and precision to technical audiences, while at the same time being able to communicate those outcomes to non-technical audiences in an approachable and understandable manner.
Exceptional problem-solving abilities, accuracy with work, strong organizational skills, attention to detail and the ability to multi-task while meeting deadlines.
Excellent communication skills, both written and verbal, and especially the ability to communicate data clearly to clients.
Ability to work in a fast-paced, team-oriented environment with minimal supervision.
WHAT GDIT CAN OFFER YOU
The GDIT HFPP Trusted Third Party is the only data warehouse of its type anywhere, bringing in many billions of healthcare claims from dozens of healthcare payers, including federal, state and local plans both public and private. We use this data warehouse solely for fraud, waste and abuse analytics.
The TTP is responsible for identifying overpayments, fraud leads, and meaningful insights about abusive billing behaviors through a cross-payer lens. Government and private healthcare. organizations collaborated to form the HFPP as a public-private partnership to combat fraud, waste, and abuse.
Competitive pay and benefits, flexible work schedule, collaborative inter-disciplinary environment where the best idea wins.
GDIT CAREERS

Opportunity Owned

Discover more at www.gdit.com/careers

General Dynamics Information Technology is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.

Scheduled Weekly Hours:

40

Travel Required:

Less than 10%

Telecommuting Options:

Telecommuting 100%

Work Location:

Any Location / Remote

Additional Work Locations:

We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.

GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",3.6,"General Dynamics Information Technology
3.6",Remote,10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD)
Senior Data Engineer,-1,"Who makes a great addition to our team:
Curious doers. We look for people who get sh*t done, but not at the risk of doing the wrong thing. We want people who ask questions, challenge, and engage in egoless debate to get to the right end goal.
Rigor, not ruthlessness. We look for people who enjoy working hard and pushing themselves and each other, but this works for us only as much as we are kind and supportive of one another.
Big picture leadership. We expect all of our teammates to be leaders and for them to step back and step forward at the right time for the harmony of the greater team and the big picture.

What we're looking for:
Strong educational background in Computer Science, Math or a related field
A minimum of five years experience working with data warehouses
A minimum of two years experience working with object oriented languages
A minimum of two years experience with schema design and dimensional data modeling
A minimum of of experience writing SQL statements

As a Senior Data Engineer you will tackle:
Managing the dtx data warehouse and data lake and own data quality for allocated areas of ownership, including defining and managing SLA for all data sets.
Partnering with the Data Science and Analytics team to investigate and implement advanced statistical models and machine learning pipelines.
Assisting client support and sales with client integrations.",4.7,"the dtx company
4.7","New York, NY",1 to 50 Employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,"Title: Data Scientist
Job ID: AD23656917

Our client has opened an opportunity for a Data Scientist to be part of their engineering team and build the best AI tech possible. You will develop top tier models from unique and diverse data sources to provide strong insights and maximize the impact of their company efforts; and develop computer vision algorithms that extract insights from aerial imagery and geospatial data.

Joining the company has its rewards: You will get to enjoy competitive compensation and equity incentives to give you a stake in their future. You will be provided with a comprehensive healthcare plan and flexible time off. Work in an upbeat and collaborative work culture and much more.

The Opportunity:
Exploring data sets and developing new InsureTech models with data science (Machine learning, Deep learning).
Develop computer vision algorithms that extract insights from aerial imagery and geospatial data
Research and model aspects of the built environment utilizing satellite imagery, LiDAR and other datasets
Help develop training and cross­-validation data sets for machine learning algorithms
Translate product management, engineering, and business constraints and queries into tractable data science questions
Qualifications:
BA / BS degree in Math, Physics, Computer Science, and Economics. MS or Ph.D. (bonus)
1+ years of experience working with computer vision and building and testing computer vision systems
2+ years of experience deploying machine learning models in production environments
2+ years of experience working with deep learning / neural network models (using TensorFlow, PyTorch, Keras, Caffe)
Experience working with large image datasets (great if you’ve already worked with satellite imagery) and related tools OpenCV, Pillow, etc.)
Experience working with cloud platforms (AWS, Google Cloud, etc)
Ability to develop new models based on physics and AI sciences
Proficient in SQL

For more information about TEEMA and to consider other career opportunities, please visit our website at www.teemagroup.com

By applying to TEEMA on any job portal implies you are entering into a business relationship with us and therefore grants TEEMA consent to send you further job updates or industry and company-related information.",4.7,"TEEMA
4.7","Oakland, CA",201 to 500 Employees,2008,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Scientist,-1,"Data Scientist-20000RVV No Visa Sponsorship is available for this position. Applicants are required to read, write, and speak the following languages: English
Preferred Qualifications


Data Scientist

Team Description

The Advanced Data Services team is a group of highly skilled Cloud Architects and Data Scientists who will work with our customers to develop modern data architectures and develop big data and data science solutions. This team’s goal is to help accelerate our customer's journey to the cloud by moving and improving their existing Hadoop installations, modernizing their data lakes with emerging and proven industry trends, and enabling them to adopt the best solutions to advance data insights through data science and advanced analytics. The team consists of experts who can identify, evangelize, architect, pilot, and implement solutions to accelerate business benefits realization to our customers.

Job Description

We are seeking data scientists with a strong track record of developing models and building analytical and machine learning solutions for big data analytics to join our Cloud Engineering team to providing expertise in Advanced Analytics and Data Science across all industry sectors.

This role requires the cloud engineers to be deeply technical and hands-on, and work closely with our sales teams and customers to help them adopt Data Science Cloud Solutions. The successful candidate must have a good understanding of the value of data lifecycle (ingest, transform, curate, analyze, and predict), as well as, proven experience delivering data science/ML solutions to executive-level business and technical leadership.

Data Scientists must have a solid understanding of tools and languages such as Python, R, along with the overall data platform at an enterprise level with big data, data lakes, analytics, and data science and the value of those solutions to the business. Data Scientists will engage with customers to discover business problems and goals, ad develop solutions using Oracle Cloud services. Work collaboratively with the customer to document the current state architecture, design the future state, and develop a path for cloud digital transformation trough data science.

We are looking for team members who can develop and deliver high-quality presentations, demonstrations, and solutions to multiple lines of business and management levels, which clearly articulate the value of Data Science and Oracle Data cloud services and solutions.

Experience in BigData/Analytics/Data science tools and a good understanding of the leading products in the industry are required along with passion, curiosity, technical depth, and exceptional communication/presentation skills.

Responsibilities
As a specialist, provide technical proof points or drive proof of value to the customer with Oracle Cloud Solutions.
Maintain mastery of the Oracle portfolio and intimate knowledge of industry trends, multidiscipline design patterns, development/deployment methodologies, and competitive cloud offerings while evangelizing solutions.
Be a trusted advisor to the customers. Develop and present business cases, industry trends, competitive differentiators, in alignment with the go-to-market product and solution strategy.
Achieve desired results through planning, risk management, stakeholder management, conflict resolution, governance, team management, and ownership of the cloud adoption lifecycle
Be agile and maintain a relentless sense of urgency and a realistic view of time (urgent patience) throughout an extended customer engagement.
Inspire confidence and quickly establish connection, credibility, trust, and influence with customer executives to developer
Exercise creativity, independent judgment, and business acumen in selecting methods and techniques to design non-routine and elegant business solutions utilizing Oracle products and technology to meet customer needs
Influence customer strategy, architecture, roadmap, and migration planning workshops spanning business, applications, information, and technology domains
Maintain relevant expert-level competency across the data ecosystem – Big Data, Data Lakes, Advanced Analytics, and Data Science.
Desired Qualifications / Skills:
10+ years of total experience in Consulting or Sales/Solution Engineering or with product development.
3-5 years of proven domain knowledge of Data Science and big data ecosystems. Domain knowledge includes Python, R, Scala, Spark, Kafka, Hadoop, AI/ML, NoSQL, Cloud data architecture, etc.
Demonstrated ability to own the customer relationship and drive their success in focus areas such as Data Science, Data Lakes & Data Warehouses enablement.
Experience enhancing data collection procedures to include information that is relevant for building analytic systems. Processing, cleansing, and verifying the integrity of data used for analysis.
Experience in ad-hoc analysis and presenting results in a clear manner. Creating automated anomaly detection systems and tracking its performance
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Experience with common data science toolkits, such as Python, R, Scala, NumPy, MatLab, etc. Excellence in at least one of these is highly desirable
Experience with data visualization tools such as Oracle Analytics Cloud, Qlik, Tableau, D3.js, GGplot2, etc.
Proven expertise in creating detailed technical architectures and product solutions for specified needs. Solution sizing/costing and configuration.
Expertise in conducting PoCs tailored to customers’ needs and proof points.
Expertise in delivering Customer Hands-on Workshops
Ability to provide detailed product presentations to educate customers
Ability to provide thought leadership on big data solutions that benefit customers through the use of Oracle Cloud Services.
Ability to interact with all customer roles such as CIO, CTO, IT Architects, technical staff and business uses.
A proven and enthusiastic, high-energy, motivating leader who is visibly passionate and is capable of inspiring and galvanizing people around.
A balance of strategic and tactical skills, with a high level of intellectual agility and capacity for original thought.
An exceptional communicator who can write, present, and effectively adjust messages to meet individual audiences and organizations.
A proven ability to navigate and effectively collaborate with other groups and resources in a large complex environment.
A bachelors or masters in mathematics or computer science or related field is required. Ph.D. in a related field is desired.
Direct Recruiter: Erin.d.smith@oracle.com

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, and protected veterans status or any other characteristic protected by law

Detailed Description and Job Requirements
Overlay sales personnel providing specialist product expertise to the sales force.

Partners with Account, Technology, and Application sales representatives to qualify and close new business on Oracle solutions. Provides specific industry or product expertise to facilitate the closing of deals within sales representatives territory. Interacts with sales team to architect the solution, and develop and execute solution strategies for market. Manages solution opportunities to obtain appropriate and necessary resources for all qualified opportunities. Leads teams in the sales process for establishing market visibility and deal visibility. Presents/demonstrates solution to high level clients and industry conference attendees. May provide training to field sales on industry/solutions. Builds and maintains a network and up to date specific industry or product knowledge.

Job duties are varied and complex, needing independent judgment. May have project lead role. 5 years field sales experience. Subject matter expertise in industry/product space. Knowledge of key industry leaders and management. Knowledge of Oracle competition. Presentation and product demonstration experience. Understanding of software and consulting arenas. Excellent communication, negotiating, and closing skills with prospects and customers. Travel may be needed. BA/BS degree in related field.

Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.

Job
: Sales
Location
: United States
Job Type
: Regular Employee Hire
Organization
: Oracle",3.6,"Oracle
3.6",United States,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
